Designator,Mid X,Mid Y,Rotation,Layer
C1,33.300001,-41.8775,90.0,bottom
C10,90.450001,-50.45,90.0,bottom
C11,109.500001,-53.3075,90.0,bottom
C12,128.550001,-56.165,90.0,bottom
C13,33.300001,-79.9775,90.0,bottom
C14,52.350001,-75.215,90.0,bottom
C15,71.400001,-72.3575,90.0,bottom
C16,90.450001,-69.5,90.0,bottom
C17,109.500001,-72.3575,90.0,bottom
C18,128.550001,-75.215,90.0,bottom
C19,33.300001,-99.0275,90.0,bottom
C2,52.350001,-37.115,90.0,bottom
C20,52.350001,-94.265,90.0,bottom
C21,71.400001,-91.4075,90.0,bottom
C22,90.450001,-88.55,90.0,bottom
C23,109.500001,-91.4075,90.0,bottom
C24,128.550001,-94.265,90.0,bottom
C25,66.637501,-113.315,90.0,bottom
C26,85.687501,-110.4575,90.0,bottom
C27,104.737501,-110.4575,90.0,bottom
C28,129.052745,-118.133809,105.0,bottom
C29,154.441415,-127.205277,120.0,bottom
C3,71.400001,-34.2575,90.0,bottom
C30,233.4,-50.515,270.0,bottom
C31,252.45,-47.6575,270.0,bottom
C32,271.5,-44.8,270.0,bottom
C33,290.55,-47.6575,270.0,bottom
C34,309.6,-50.515,270.0,bottom
C35,328.65,-55.2775,270.0,bottom
C36,233.4,-69.565,270.0,bottom
C37,252.45,-66.7075,270.0,bottom
C38,271.5,-63.85,270.0,bottom
C39,290.55,-66.7075,270.0,bottom
C4,90.450001,-31.4,90.0,bottom
C40,309.6,-69.565,270.0,bottom
C41,328.65,-74.3275,270.0,bottom
C42,233.4,-88.615,270.0,bottom
C43,252.45,-85.7575,270.0,bottom
C44,271.5,-82.9,270.0,bottom
C45,290.55,-85.7575,270.0,bottom
C46,309.6,-88.615,270.0,bottom
C47,328.65,-93.3775,270.0,bottom
C48,233.4,-107.665,270.0,bottom
C49,252.45,-104.8075,270.0,bottom
C5,109.500001,-34.2575,90.0,bottom
C50,271.5,-101.95,270.0,bottom
C51,290.55,-104.8075,270.0,bottom
C52,309.6,-107.665,270.0,bottom
C53,328.65,-112.4275,270.0,bottom
C54,214.208583,-138.810012,240.0,bottom
C55,236.365435,-131.077218,255.0,bottom
C56,257.2125,-123.8575,270.0,bottom
C57,276.2625,-123.8575,270.0,bottom
C58,295.3125,-126.715,270.0,bottom
C59,160.1,-48.8,90.0,bottom
C6,128.550001,-37.115,90.0,bottom
C60,201.8,-49.1,90.0,bottom
C7,33.300001,-60.9275,90.0,bottom
C8,52.350001,-56.165,90.0,bottom
C9,71.400001,-53.3075,90.0,bottom
D1,62.899999,-51.315,90.0,bottom
D10,120.049999,-67.5075,90.0,bottom
D11,139.099999,-70.365,90.0,bottom
D12,43.849999,-75.1275,90.0,bottom
D13,62.899999,-89.415,90.0,bottom
D14,81.949999,-86.5575,90.0,bottom
D15,100.999999,-83.7,90.0,bottom
D16,120.049999,-86.5575,90.0,bottom
D17,139.099999,-89.415,90.0,bottom
D18,43.849999,-94.1775,90.0,bottom
D19,62.899999,-108.465,90.0,bottom
D2,81.949999,-48.4575,90.0,bottom
D20,81.949999,-105.6075,90.0,bottom
D21,100.999999,-102.75,90.0,bottom
D22,120.049999,-105.6075,90.0,bottom
D23,139.099999,-108.465,90.0,bottom
D24,43.849999,-113.2275,90.0,bottom
D25,77.187499,-127.515,90.0,bottom
D26,96.237499,-124.6575,90.0,bottom
D27,115.287499,-124.6575,90.0,bottom
D28,135.568031,-134.580496,105.0,bottom
D29,156.477982,-144.777837,120.0,bottom
D3,100.999999,-45.6,90.0,bottom
D30,222.85,-36.315,270.0,bottom
D31,241.9,-33.4575,270.0,bottom
D32,260.95,-30.6,270.0,bottom
D33,280.0,-33.4575,270.0,bottom
D34,299.05,-36.315,270.0,bottom
D35,318.1,-41.0775,270.0,bottom
D36,222.85,-55.365,270.0,bottom
D37,241.9,-52.5075,270.0,bottom
D38,260.95,-49.65,270.0,bottom
D39,280.0,-52.5075,270.0,bottom
D4,120.049999,-48.4575,90.0,bottom
D40,299.05,-55.365,270.0,bottom
D41,318.1,-60.1275,270.0,bottom
D42,222.85,-74.415,270.0,bottom
D43,241.9,-71.5575,270.0,bottom
D44,260.95,-68.7,270.0,bottom
D45,280.0,-71.5575,270.0,bottom
D46,299.05,-74.415,270.0,bottom
D47,318.1,-79.1775,270.0,bottom
D48,222.85,-93.465,270.0,bottom
D49,241.9,-90.6075,270.0,bottom
D5,139.099999,-51.315,90.0,bottom
D50,260.95,-87.75,270.0,bottom
D51,280.0,-90.6075,270.0,bottom
D52,299.05,-93.465,270.0,bottom
D53,318.1,-98.2275,270.0,bottom
D54,197.972016,-131.787452,240.0,bottom
D55,222.499688,-120.091613,255.0,bottom
D56,246.6625,-109.6575,270.0,bottom
D57,265.7125,-109.6575,270.0,bottom
D58,284.7625,-112.515,270.0,bottom
D6,43.849999,-56.0775,90.0,bottom
D7,62.899999,-70.365,90.0,bottom
D8,81.949999,-67.5075,90.0,bottom
D9,100.999999,-64.65,90.0,bottom
J1,157.0,-72.5,270.0,top
J2,205.0,-72.5,270.0,top
J3,161.0,-82.0,270.0,bottom
J4,200.9,-82.1,90.0,bottom
L1,38.1,-43.8775,0.0,bottom
L10,95.25,-52.45,0.0,bottom
L11,114.3,-55.3075,0.0,bottom
L12,133.35,-58.165,0.0,bottom
L13,38.1,-81.9775,0.0,bottom
L14,57.15,-77.215,0.0,bottom
L15,76.2,-74.3575,0.0,bottom
L16,95.25,-71.5,0.0,bottom
L17,114.3,-74.3575,0.0,bottom
L18,133.35,-77.215,0.0,bottom
L19,38.1,-101.0275,0.0,bottom
L2,57.15,-39.115,0.0,bottom
L20,57.15,-96.265,0.0,bottom
L21,76.2,-93.4075,0.0,bottom
L22,95.25,-90.55,0.0,bottom
L23,114.3,-93.4075,0.0,bottom
L24,133.35,-96.265,0.0,bottom
L25,71.4375,-115.315,0.0,bottom
