Designator,Mid X,Mid Y,Rotation,Layer
D1,66.75,-108.815,270.0,bottom
D10,123.9,-122.15,270.0,bottom
D11,142.95,-125.0075,270.0,bottom
D12,162.0,-127.865,270.0,bottom
D13,66.75,-146.915,270.0,bottom
D14,85.8,-146.915,270.0,bottom
D15,104.85,-144.0575,270.0,bottom
D16,123.9,-141.2,270.0,bottom
D17,142.95,-144.0575,270.0,bottom
D18,162.0,-146.915,270.0,bottom
D19,66.75,-165.965,270.0,bottom
D2,85.8,-108.815,270.0,bottom
D20,85.8,-165.965,270.0,bottom
D21,104.85,-163.1075,270.0,bottom
D22,123.9,-160.25,270.0,bottom
D23,142.95,-163.1075,270.0,bottom
D24,162.0,-165.965,270.0,bottom
D25,100.0875,-185.015,270.0,bottom
D26,119.1375,-182.1575,270.0,bottom
D27,138.1875,-182.1575,270.0,bottom
D28,159.112735,-184.957578,285.0,bottom
D29,181.591656,-186.443259,300.0,bottom
D3,104.85,-105.9575,270.0,bottom
D30,238.2,-108.815,270.0,bottom
D31,257.25,-104.0525,270.0,bottom
D32,276.3,-103.1,270.0,bottom
D33,295.35,-105.9575,270.0,bottom
D34,314.4,-108.815,270.0,bottom
D35,333.45,-108.815,270.0,bottom
D36,238.2,-127.865,270.0,bottom
D37,257.25,-123.1025,270.0,bottom
D38,276.3,-122.15,270.0,bottom
D39,295.35,-125.0075,270.0,bottom
D4,123.9,-103.1,270.0,bottom
D40,314.4,-127.865,270.0,bottom
D41,333.45,-127.865,270.0,bottom
D42,238.2,-146.915,270.0,bottom
D43,257.25,-144.0575,270.0,bottom
D44,276.3,-141.2,270.0,bottom
D45,295.35,-144.0575,270.0,bottom
D46,314.4,-146.915,270.0,bottom
D47,333.45,-146.915,270.0,bottom
D48,238.2,-165.965,270.0,bottom
D49,257.25,-163.1075,270.0,bottom
D5,142.95,-105.9575,270.0,bottom
D50,276.3,-160.25,270.0,bottom
D51,295.35,-163.1075,270.0,bottom
D52,314.4,-165.965,270.0,bottom
D53,333.45,-165.965,270.0,bottom
D54,219.89927,-195.339691,240.0,bottom
D55,241.202337,-188.64868,255.0,bottom
D56,262.0125,-182.1575,270.0,bottom
D57,281.0625,-182.1575,270.0,bottom
D58,300.1125,-185.015,270.0,bottom
D6,162.0,-108.815,270.0,bottom
D7,66.75,-127.865,270.0,bottom
D8,85.8,-127.865,270.0,bottom
D9,104.85,-125.0075,270.0,bottom
J1,191.0,-138.5,270.0,top
J2,225.0,-138.5,270.0,top
J3,193.0,-147.0,90.0,top
J4,223.0,-147.0,270.0,top
L1,75.1,-103.815,0.0,bottom
L10,132.25,-117.15,0.0,bottom
L11,151.3,-120.0075,0.0,bottom
L12,170.35,-122.865,0.0,bottom
L13,75.1,-141.915,0.0,bottom
L14,94.15,-141.915,0.0,bottom
L15,113.2,-139.0575,0.0,bottom
L16,132.25,-136.2,0.0,bottom
L17,151.3,-139.0575,0.0,bottom
L18,170.35,-141.915,0.0,bottom
L19,75.1,-160.965,0.0,bottom
L2,94.15,-103.815,0.0,bottom
L20,94.15,-160.965,0.0,bottom
L21,113.2,-158.1075,0.0,bottom
L22,132.25,-155.25,0.0,bottom
L23,151.3,-158.1075,0.0,bottom
L24,170.35,-160.965,0.0,bottom
L25,108.4375,-180.015,0.0,bottom
L26,127.4875,-177.1575,0.0,bottom
L27,146.5375,-177.1575,0.0,bottom
L28,168.47231,-182.289088,15.0,bottom
L29,191.322967,-186.288131,30.0,bottom
L3,113.2,-100.9575,0.0,bottom
L30,246.55,-103.815,0.0,bottom
L31,265.6,-99.0525,0.0,bottom
L32,284.65,-98.1,0.0,bottom
L33,303.7,-100.9575,0.0,bottom
L34,322.75,-103.815,0.0,bottom
L35,341.8,-103.815,0.0,bottom
L36,246.55,-122.865,0.0,bottom
L37,265.6,-118.1025,0.0,bottom
L38,284.65,-117.15,0.0,bottom
L39,303.7,-120.0075,0.0,bottom
L4,132.25,-98.1,0.0,bottom
L40,322.75,-122.865,0.0,bottom
L41,341.8,-122.865,0.0,bottom
L42,246.55,-141.915,0.0,bottom
L43,265.6,-139.0575,0.0,bottom
L44,284.65,-136.2,0.0,bottom
L45,303.7,-139.0575,0.0,bottom
L46,322.75,-141.915,0.0,bottom
L47,341.8,-141.915,0.0,bottom
L48,246.55,-160.965,0.0,bottom
L49,265.6,-158.1075,0.0,bottom
L5,151.3,-100.9575,0.0,bottom
L50,284.65,-155.25,0.0,bottom
